id;title;description;execution_time;duration_min;closed
1;whoever piety generator;comedy;2024-04-26T18:14:29;24044;true
2;above indeed if;whether round loads;2024-04-27T08:40:03;5531;true
3;klutzy enquiry athwart;wealth since;2024-04-26T19:21:08;23763;true
4;transition;microphone gee;2024-04-27T01:06:51;19092;false
5;parley;gambol;2024-04-26T20:18:34;507;false
6;ew;as;2024-04-26T21:09:27;30965;true
7;vice goggles;creak within helpful;2024-04-27T06:37:53;7422;false
8;alongside why final;an pate excepting;2024-04-26T12:36:10;32348;false
9;pfft;yum;2024-04-27T02:17:47;14718;false
10;absolute criminal;record;2024-04-27T09:33:04;3472;false
